"Compl Term","Acad Plan","Descr","Plan Type","Survey ID"
"1101","BA_ISLAMIC","Islamic & Middle Eastern Stds","MAJ","000291774"
"1081","BA_POLITIC","Politics","MAJ","000473734"
"1081","DM_HISTORY","History","MAJ","000473734"
"1081","MN_WOMENS","Women's/Gender/Sexuality Stds.","MIN","000473734"
"1131","BS_HSSP","Health: Science, Society & Pol","MAJ","000788383"
"1131","DM_BIOLOGY","Biology","MAJ","000788383"
"1121","BA_AF_AFAM","African/Afro-American Studies","MAJ","000853677"
"1121","MN_SAS","South Asian Studies","MIN","000853677"
"1093","BA_ANTHROP","Anthropology","MAJ","000945192"
"1093","DM_ENGLISH","English","MAJ","000945192"
"1093","MN_WOMENS","Women's/Gender/Sexuality Stds.","MIN","000945192"
"1121","BA_THEATER","Theater Arts","MAJ","000964660"
"1121","DM_AMER_ST","American Studies","MAJ","000964660"
"1121","MN_JOURNAL","Journalism","MIN","000964660"
"1121","BA_POLITIC","Politics","MAJ","001139260"
"1121","MN_ECONOMC","Economics","MIN","001139260"
"1091","BS_NEURSCI","Neuroscience","MAJ","001355839"
"1091","DM_PHILOSP","Philosophy","MAJ","001355839"
"1101","BS_COMPSCI","Computer Science","MAJ","001396977"
"1101","DM_MUSIC","Music","MAJ","001396977"
"1091","BA_AMER_ST","American Studies","MAJ","001543244"
"1091","MN_BUSINES","Business","MIN","001543244"
"1091","MN_ECONOMC","Economics","MIN","001543244"
"1091","MN_JOURNAL","Journalism","MIN","001543244"
"1101","BA_AMER_ST","American Studies","MAJ","001772907"
"1101","MN_FILM_ST","Film/Television/InteractvMedia","MIN","001772907"
"1101","MN_HISTORY","History","MIN","001772907"
"1141","BA_ANTHROP","Anthropology","MAJ","001800851"
"1141","MN_HISP","Hispanic Studies","MIN","001800851"
"1151","BA_CRE_WRT","Creative Writing","MAJ","001944647"
"1151","MN_EDUCATN","Education","MIN","001944647"
"1111","BA_AMER_ST","American Studies","MAJ","002117585"
"1111","MN_INT_GLB","International & Global Studies","MIN","002117585"
"1151","BA_PSYCHOL","Psychology","MAJ","002563825"
"1151","DM_HSSP","Health: Science, Society & Pol","MAJ","002563825"
"1151","BS_HSSP","Health: Science, Society & Pol","MAJ","002677622"
"1151","DM_BIOLOGY","Biology","MAJ","002677622"
"1081","BS_BIOLOGY","Biology","MAJ","002783022"
"1081","MN_EA_ASIA","East Asian Studies","MIN","002783022"
"1081","MN_HSSP","Health: Science, Society & Pol","MIN","002783022"
"1121","BA_MATHEMT","Mathematics","MAJ","003055974"
"1121","MN_ECONOMC","Economics","MIN","003055974"
