"Term","Class Nbr","Section","Subject","Catalog","Descr","Component","Course ID","Survey ID"
"1031","1153","1","BIOL","  15B","BIO:ITS HUMAN IMPLICATNS","LEC","000834","631984117"
"1023","4368","+W","USEM","  89A","MOD.IDEAS/MOD.IDENTITIES","SEM","009301","631984117"
"1023","3440","1","FA","  22B","HIST-BOSTON ARCHITECTURE","LEC","002804","631984117"
"1023","3338","3","ECON","   8B","THE GLOBAL ECONOMY","LEC","001960","631984117"
"1033","1523","1","FA","  75A","HIGH ART/LOW ART:MODERN","LEC","002846","631984117"
"1033","1393","1","ECON","  60B","ECON:INTL TRADE DISPUTES","LEC","001931","631984117"
"1033","1250","2","BUS","  10A","CAPITALIST ENTERPRISE","LEC","001911","631984117"
"1033","1248","2","BUS","   6A","FINANCIAL ACCOUNTING","LEC","001820","631984117"
"1041","1742","1","HS"," 104B","AMER. HEALTH CARE SYSTEM","LEC","003744","631984117"
"1041","1541","1","FA","  20B","INTRO TO VISUAL CULTURE","LEC","002801","631984117"
"1041","1506","1","ENG"," 197A","WHAT WAS POSTMODERN LIT","LEC","009511","631984117"
"1043","3926","1","PE","   1A","BEGINNER'S SWIMMING","NCA","006446","631984117"
"1043","3477","1","FA"," 197B","METHODS/APPR:HIST.OF ART","SEM","002786","631984117"
"1043","3439","3","FA","   3A","INTRO TO DRAWING I","STD","002811","631984117"
"1043","3359","1","ECON"," 184B","ECONOMETRICS","LEC","001873","631984117"
"1043","3348","2","ECON","  82B","MACROECONOMIC THEORY","LEC","001952","631984117"
"1043","3345","1","ECON","  80A","MICROECONOMIC THEORY","LEC","001950","631984117"
"1051","4487","1","ECON"," 171A","FINANCIAL ECONOMICS","LEC","001856","631984117"
"1051","3240","1","FA","  24B","20TH C/CONTMP LAT AM ART","LEC","002806","631984117"
"1051","3165","1","MUS"," 107A","ELECTRO-ACOUSTIC MUSIC","LEC","005382","631984117"
"1051","2832","1","FA","  12A","HISTORY OF ASIAN ART","LEC","002729","631984117"
"1051","1409","2","ECON","  83A","STATISTICS-ECON ANALYSIS","LEC","001953","631984117"
"1053","6243","1","FA"," 196A","CONTEMPORARY ART","SEM","010935","631984117"
"1053","6000","1","FA"," 130A","20TH-CENT. AMERICAN ART","LEC","002732","631984117"
"1053","5997","1","FA","  61B","WOMEN AS ARTISTS & ART","LEC","002840","631984117"
"1053","4408","1","PE","   5A","FIRST AID AND CPR","NCA","006503","631984117"
"1053","3151","1","ECON","   2A","INTRO TO ECONOMICS","LEC","001900","631984117"
"1061","4171","1","BUS","  30A","ENTREPRENEURSHIP& INNOVATION","LEC","004375","631984117"
"1061","1330","2","FA","   4B","THREE-DIMENSIONAL DES II","STD","002829","631984117"
"1061","1307","1","ENG"," 109B","DIRECTED WRIT: SHORT FICT","SEM","002110","631984117"
"1023","3384","1","ENG","  26A","DETECTION AND ANALYSIS","SEM","002439","380138684"
"1023","3943","1","PE","  11A","NAUTILUS/FREE WEIGHTS","NCA","006431","380138684"
"1023","3759","1","MATH","  20A","CALC OF SEVERAL VARIABLE","LEC","005234","380138684"
"1023","3428","1","FA","   1A","ELEMENTS-DES. IN ART I","STD","002789","380138684"
"1031","2451","1","UWS","   3B","UNIVERSITY WRITING SEM.","SEM","009373","380138684"
"1031","2169","1","PSYC","   1A","INTRO TO PSYCHOLOGY","LEC","007378","380138684"
"1031","2063","1","PHIL","  23B","BIOMEDICAL ETHICS","LEC","006649","380138684"
