instance_id,code,name,description,score 0-5
12337,COSI 12B,Advanced Programming Techniques,"Prerequisite: COSI 11a or programming facility in C.

An introduction to fundamental programming techniques covering basic software engineering, object oriented programming, interfaces, APIs and abstract classes, with applications to Graphical User Interfaces, web programming, graphics, and other topics. Usually offered every year.
Staff",
1728,COSI 227B,Advanced Topics in Database Systems,"Prerequisite: COSI 127b.

An in-depth treatment of advanced topics in database management systems. Topics vary from year to year and may include distributed databases, query processing, transaction processing, and Web-based data management. Usually offered every second year.
Mr. Cherniack",
1683,COSI 180A,Algorithms,good,4.5
1647,COSI 113B,Artificial Life,ok,4
12966,COSI 136A,Automated Speech Recognition,great,5
13497,COSI 166B,Capstone Project for Software Entrepreneurs,"Prerequisite: COSI 21a. Corequisite: COSI 167b.

Builds on COSI 165a and teaches modern software engineering concepts, emphasizing rapid prototyping, unit testing, usability testing, and collaborative software development principles. Students apply these concepts by building a complex software system in small teams of programmers/developers using current platforms and technologies. Usually offered every year.
Mr. Salas",
013562-IND,COSI 299A,Computational Linguistics Master's Thesis,great,5
013466-IND,COSI 293B,Computational Linguistics Research Internship,"Permission of the graduate advising head required.

Offers graduate students a opportunity to engage in industrial research in computational linguistics by completing a paid or unpaid internship of at least ten weeks duration approved and monitored by a faculty member. 
Staff",
12691,COSI 138A,Computational Linguistics Second Year Seminar,"Open to students in the final term of the MA program in Computational Linguistics. Also open to PhD students in Computational Linguistics. Students in Computer Science MA or PhD programs may enroll with permission of the instructor.

A seminar on research methods, writing, and presentations, and in abstract writing. Aims to help students learn to prepare and deliver oral presentations and written papers of their research work, according to the standards used and expected in this field—both in industry job and academic settings. This will be useful to students applying for jobs in industry or for further graduate work at the Ph.D. level, as well as for the work carried out in such jobs and academic study. Usually offered every year.
Ms. Goldberg",
1669,COSI 155B,Computer Graphics,ok,3
1722,COSI 21A,Data Structures and the Fundamentals of Computing,good,4
1656,COSI 127B,Database Management Systems,"Prerequisites: COSI 12b or 21a and COSI 29a.

Introduces database structure, organization, and languages. Studies relational and object-oriented models, query languages, optimization, normalization, file structures and indexes, concurrency control and recovery algorithms, and distributed databases. Usually offered every second year.
Mr. Cherniack",
1736,COSI 29A,Discrete Structures,ok,3
001766-IND,COSI 400D,Dissertation Research,"Specific sections for individual faculty members as requested.
Staff",
1663,COSI 147A,Distributed Systems,great,5
1761,COSI 101A,Fundamentals of Artificial Intelligence,good,4.5
1649,COSI 114B,Fundamentals of Computational Linguistics,"Prerequisites: COSI 11a and LING 131a, or permission of the instructor.

Provides a fundamental understanding of the problems in natural language understanding by computers, and the theory and practice of current computational linguistic systems. Of interest to students of artificial intelligence, algorithms, and the computational processes of comprehension and understanding. Usually offered every year.
Ms. Meteer and Mr. Pustejovsky",
012959-IND,COSI 393G,Graduate Research Internship,"Permission of the graduate program director required. Yields quarter-course credit. May be repeated for credit. For Ph.D. students only.

Offers Ph.D students an opportunity to engage in industrial research in computer science by completing a paid or unpaid internship of at least ten weeks duration and forty hours per week, approved and monitored by a faculty member. Usually offered every summer.
Staff",
1655,COSI 125A,Human-Computer Interaction,bad,2
12338,COSI 320A,IT Entrepreneurship Practicum I,bad,1
12339,COSI 320B,IT Entrepreneurship Practicum II,bad,1
001800-IND,COSI 98A,Independent Study,"Open to exceptional students who wish to study an area of computer science not covered in the standard curriculum. Usually offered every year.
Staff",
001713-IND,COSI 210A,Independent Study,"Usually offered every year. May be repeated once for credit.
Staff",
012511-IND,COSI 98AJ,Independent Study,"In this JBS capstone course, students will work together in small teams to create web and/or mobile applications that are designed to support specific social movements, using the knowledge they have gained from both the COSI and POL courses they have completed. By the end of the program students will create and launch a beta version of the site and will study the potential effectiveness of the site in its goal of supporting a social movement. The teams will present their products at a JBS Product Showcase during the last week of class. Offered as part of JBS program.
Staff",
001802-IND,COSI 98B,Independent Study,"Open to exceptional students who wish to study an area of computer science not covered in the standard curriculum. Usually offered every year.
Staff",
13168,COSI 137B,Information Extraction,"Prerequisites: COSI 101a, COSI 121b, COSI 134a or permission of the instructor.

Examines the major issues and techniques in extracting semantically meaningful information from unstructured data, putting the information into a structured database for easy access and manipulation. Teaches students to design and implement a working natural language system. Usually offered every year.
Mr. Xue",
13394,COSI 132A,Information Retrieval,"Prerequisite: COSI 21a, COSI 101a or COSI 114b.

Explores the theory and practice of textual information retrieval, including text indexing; Boolean, vector space and probabilistic retrieval models; evaluation; interfaces; linguistic issues; web search; QA and text classification. Students will implement algorithms and design and build a search-based application. Usually offered every second year.
Mr. Anick",
1743,COSI 130A,Introduction to the Theory of Computation,"Prerequisite: COSI 29a. May not be taken for credit by students who took COSI 30a in prior years.

Formal treatment of models of computation: finite automata and regular languages, pushdown automata and context-free languages, Turing machines, and recursive enumerability. Church's thesis and the invariance thesis. Halting problem and undecidability, Rice's theorem, recursion theorem. Usually offered every year.
Mr. Mairson",
001738-IND,COSI 300A,Master's Project,"Usually offered every year.
Staff",
001740-IND,COSI 300B,Master's Project,"Usually offered every year.
Staff",
012958-IND,COSI 293G,Master's Research Internship,"Permission of the graduate program director required. Yields quarter-course credit. May be repeated for credit. Intended for Master's students. 

Offers graduate students an opportunity to engage in industrial research in computer science by completing a paid or unpaid internship of at least ten weeks duration approved and monitored by a faculty member. Usually offered every semester.
Staff",
13276,COSI 153A,Mobile Application Development,good,4
13393,COSI 140B,Natural Language Annotation for Machine Learning,good,4
1751,COSI 131A,Operating Systems,great,5
1651,COSI 11A,Programming in Java and C,"Open only to students with no previous programing background.

A general introduction to structured programming and problem solving using C and Java in the context of the World Wide Web. Students also learn GUI programming and advanced HTML authoring. There are weekly programming assignments.  Usually offered every semester.
Staff",
001698-IND,COSI 200A,Readings,"Specific sections for individual faculty members as requested.
Staff",
001699-IND,COSI 200B,Readings,"Specific sections for individual faculty members as requested.
Staff",
011817-IND,COSI 93A,Research Internship and Analysis,"Provides students with an opportunity to work in a computer science research lab for one semester, pursuing a project that has the potential to produce new scientific results. Students and the faculty member mutually design a project for the semester that supports the research agenda of the group. Students must attend all research group meetings and present their findings in oral and written form at the end of the semester. The project typically includes background research, some lab work, and collaboration with other group members. Course requires signature of the instructor, is subject to the availability of undergraduate research positions, and is typically open only to juniors and seniors.
Staff",
12583,COSI 177A,Scientific Data Processing in Matlab,good,4
001806-IND,COSI 99D,Senior Research,"Prerequisites: Open only to seniors. Submission of a thesis proposal during the spring semester of the junior year. This proposal must be signed by a faculty member who has agreed to supervise the thesis.

Research assignments and preparation of a report under the direction of an instructor. Usually offered every year.
Staff",
13586,COSI 105B,Software Engineering for Scalability,"Prerequisites: COSI 12b and COSI 21a.

Covers some of the ""big ideas"" that come in to play when building large, complex, and highly scaled software systems. We will look at both research and practice in key areas such as software project management, programming and design, intellectual property, and scaling architectures. This course culminates with a term project. Usually offered every year.
Mr. Salas",
13496,COSI 165A,Software Entrepreneurship,"Prerequisite: Sophomore standing.

Covers the fundamental concepts needed to transform an idea for a software application into a viable IT business. The focus of the course is on software-based IT enterprises and the specific challenges and opportunities they present. Learn the ""Lean Startup"" process in this course with a significant hands-on focus. Usually offered every year.
Mr. Salas",
13403,COSI 115BJ,Spoken Dialog Design,"Explores fundamental concepts underlying spoken dialog applications. Topics include principles of human dialog, speech recognition and synthesis, and VUI design. Students will use industry standard tools in speech recognition, natural language, and dialog design to build interactive applications. Offered as part of JBS program.
Ms. Meteer",
12324,COSI 134A,Statistical Approaches to Natural Language Processing,great,5
11074,COSI 123A,Statistical Machine Learning,great,5
1725,COSI 121B,Structure and Interpretation of Computer Programs,"Prerequisites: COSI 11a or programming facility in C. May not be taken for credit by students who took COSI 21b in prior years.

An introduction to idioms of programming methodology, and to how programming languages work. Principles of functional programming, data structures and data abstraction; state, imperative and object-oriented programming; lazy data structures; how an interpreter works; metalinguistic abstraction and programming language design; syntax analysis, lexical addressing, continuations and explicit control; continuation-passing style, metacircular and register-machine compilers. Usually offered every year.
Mr. Mairson",
12474,COSI 154AJ,The JBS Incubator,ok,3
